fluid_id,height_cm,time_min,concentration,ROA,adensante,dens_susp,dens_solids,teor_solids,dp_medio,m,n
5,0.5,35.0,0.06774525351629024,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,36.0,0.06992098583080265,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,37.0,0.06944131866045015,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,40.0,0.06760848451561229,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,41.0,0.06919361575496935,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,42.0,0.0697950586804133,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,43.0,0.06984942369918458,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,44.0,0.0694097460364178,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,47.0,0.06956814945211004,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,48.0,0.0707105801785985,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,49.0,0.07007452740617558,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,0.5,50.0,0.072233938444891,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,1.0,0.03673643284044529,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,2.0,0.05926152431130452,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,3.0,0.06288724988919255,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,5.0,0.06405180834187035,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,6.0,0.062392567173128154,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,7.0,0.06167400304521128,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,8.0,0.06267249381757753,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,10.0,0.06565029196161849,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,12.0,0.06861481594741782,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,13.0,0.06745049800556831,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,14.0,0.06865449632824785,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,15.0,0.0678227280357974,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,16.0,0.06660973795664814,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,19.0,0.06809467557604783,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,20.0,0.07043747612582295,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,21.0,0.06881009848736445,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,22.0,0.06964859647542375,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,23.0,0.07036619697120415,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,26.0,0.06692546953457305,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,27.0,0.06821196534393248,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,28.0,0.06964516303514547,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,29.0,0.06890110184217645,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,33.0,0.07067132293453086,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,34.0,0.06987485997683167,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,35.0,0.06864750323070071,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,36.0,0.07065989106878036,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,37.0,0.0697661193892584,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,40.0,0.06973438162920134,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,41.0,0.06894611206427288,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,42.0,0.06969880947738614,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,43.0,0.07019904864614168,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,44.0,0.0694893918914786,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,47.0,0.07106143864311537,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,48.0,0.07056924202873731,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,49.0,0.07203894386332145,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,2.0,50.0,0.07055999345976212,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,1.0,0.03917031470318044,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,2.0,0.05593701149078678,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,3.0,0.0636000194458088,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,5.0,0.06305895703659811,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,6.0,0.062456719023397556,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,7.0,0.0629527699227063,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,8.0,0.06293102848654093,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,10.0,0.06506900313688863,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,12.0,0.06846388082533798,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,13.0,0.06848267780082348,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,14.0,0.06865479858027429,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,15.0,0.06898298540260696,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,16.0,0.06361939430861943,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,19.0,0.06983601851640872,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,20.0,0.07059350739858393,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,21.0,0.07022063962174553,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,22.0,0.06718290219976056,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,23.0,0.06983118199179257,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,26.0,0.06838380266246735,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,27.0,0.06883654312994987,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,28.0,0.06857663930254415,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,29.0,0.0675859650580914,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,33.0,0.06862594742593874,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,34.0,0.06952237855461944,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,35.0,0.06992349299732777,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,36.0,0.06778896657037052,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,37.0,0.0697891001076113,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,40.0,0.06905641085538666,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,41.0,0.07190108651572667,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,42.0,0.07052674976151241,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,43.0,0.06951146182733932,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,44.0,0.06921302083672794,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,47.0,0.0699307545351137,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,48.0,0.06800203867053115,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,49.0,0.0710571967967346,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,4.0,50.0,0.06963762089448589,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,1.0,0.037077638089919665,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,2.0,0.055380822687339716,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,3.0,0.06428164128207244,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,5.0,0.06256263159888027,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,6.0,0.06215798105443892,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,7.0,0.06527179796054575,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,8.0,0.06226291002059701,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,10.0,0.0665144102802564,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,12.0,0.06768658599551515,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,13.0,0.06709143299109838,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,14.0,0.06676841123044507,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,15.0,0.06762611067610942,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,16.0,0.06527197417123189,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,19.0,0.06695766009752595,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,20.0,0.06711150501157502,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,21.0,0.06865098294502438,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,22.0,0.06825698342431036,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,23.0,0.06968687618844878,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,26.0,0.06905772358284963,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,27.0,0.0663938532123751,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,28.0,0.06802797019321687,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,29.0,0.06676979383025822,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,33.0,0.06833085890303002,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,34.0,0.06893053804593212,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,35.0,0.06788462561045848,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,36.0,0.06842812453252811,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,37.0,0.06778968056700162,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,40.0,0.07031848798654404,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,41.0,0.0691648717098892,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,42.0,0.06906851486004358,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,43.0,0.07033624628011971,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,44.0,0.06935596483706431,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,47.0,0.07032858472305463,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,48.0,0.069507554803294,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,49.0,0.06962807058074418,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,8.0,50.0,0.06987296856298449,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,1.0,0.036672479524536346,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,2.0,0.05708529544629288,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,3.0,0.06112739085805513,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,5.0,0.06506689775135131,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,6.0,0.06216611265747535,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,7.0,0.06247428596512841,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,8.0,0.061187957675120856,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,10.0,0.06477197084791961,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,12.0,0.06811561020830785,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,13.0,0.0640785993276004,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,14.0,0.0647927279543938,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,15.0,0.06720297081173127,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,16.0,0.06467066372114619,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,19.0,0.06528588253338548,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,20.0,0.06584463460794775,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,21.0,0.06453657292147953,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,22.0,0.06780873910143993,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,23.0,0.06603368703813513,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,26.0,0.06542651789606914,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,27.0,0.0648834964110807,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,28.0,0.06628279856568269,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,29.0,0.06513397566215114,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,33.0,0.06687068953919544,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,34.0,0.066512783249603,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,35.0,0.06520413882818007,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,36.0,0.06589710265143393,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,37.0,0.0649769455101573,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,40.0,0.06609578232595374,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,41.0,0.06635653604435282,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,42.0,0.06685310964207201,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,43.0,0.06669095385915502,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,44.0,0.06790016641388946,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,47.0,0.06812076045046887,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,48.0,0.0687771477230151,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,49.0,0.06728028132689617,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,12.0,50.0,0.0665318660299919,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,1.0,0.03414949290352987,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,2.0,0.046581256501040454,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,3.0,0.04799556984978531,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,5.0,0.03611828947360188,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,6.0,0.03285747685263402,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,7.0,0.025566581123099553,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,8.0,0.02870809243700885,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,10.0,0.030844058850065362,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,12.0,0.06650377003032652,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,13.0,0.025059919843729767,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,14.0,0.01640226805387639,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,15.0,0.013592821022692742,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,16.0,0.017288696919733965,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,19.0,0.015089267847824167,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,20.0,0.021281918091756207,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,21.0,0.009918851721613971,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,22.0,0.012674318816594273,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,23.0,0.01133112564863895,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,26.0,0.008915951006570626,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,27.0,0.01000360768846358,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,28.0,0.01161602611933425,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,29.0,0.010981976125751927,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,33.0,0.011066218166646673,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,34.0,0.008717282941927671,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,35.0,0.008667202847210705,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,36.0,0.009539567060543859,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,37.0,0.009267275689734704,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,40.0,0.0093028449394632,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,41.0,0.009198688579854375,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,42.0,0.011242963005687124,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,43.0,0.011162142852136415,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,44.0,0.012949866622276466,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,47.0,0.011568431521522171,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,48.0,0.01189692356806056,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,49.0,0.012973065122408213,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,16.0,50.0,0.011620207946832753,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
5,18.0,1.0,0.03517229163731995,0.0,1.0,1.17,2.311,0.127,25.16,1.344,0.397
